,train_loss,train_acc,val_loss,val_acc,trainf1,valf1
0,2.3388732529100564,0.5881443867976598,1.9786701308674193,0.6625827814569536,0.15231152789896996,0.27451607316281734
1,1.8749723693477478,0.6975383596423447,1.7623891214443188,0.6394039735099337,0.3165387635557773,0.37916596756088233
2,1.6428592928439292,0.712992604040181,1.664723299300215,0.6350993377483444,0.4178707134287889,0.4156162329169768
3,1.4936254903895847,0.720057401479192,1.6018241677927127,0.6403973509933775,0.4665826502285177,0.43959127996606895
4,1.3580923362058195,0.7099017551606137,1.5721465949027396,0.7099337748344371,0.5143488637462289,0.45452308599977453
5,1.274806712014918,0.7206093387791147,1.5568689511770692,0.666887417218543,0.5329288290125643,0.46289792042287686
6,1.1614224445392058,0.7277845236781102,1.528429293273139,0.6900662251655629,0.5762760655206506,0.47418192196293674
7,1.0968532960849018,0.7134341538801192,1.5145841379784661,0.687748344370861,0.5984994871397222,0.4810511825019351
8,1.041617278927578,0.7148691908599183,1.5106257775846,0.6933774834437086,0.6249078783550727,0.4891600258615265
9,0.969282833176374,0.7232586378187438,1.5227896876429496,0.7165562913907285,0.6555505201117064,0.4757971645107474
10,0.9074140146357956,0.7179600397394856,1.5211699097045674,0.7433774834437086,0.6773585714563751,0.47330071015392744
11,0.8509137152468986,0.7262390992383265,1.5211545035408705,0.7072847682119205,0.7020518544135852,0.47948371843900234
