,train_loss,train_acc,val_loss,val_acc,trainf1,valf1
0,2.629965281731184,0.4749972403135004,2.5729839452810372,0.35960264900662253,0.060414087080412994,0.07256838912855336
1,2.468015252615999,0.4542443978364058,2.38881753608733,0.44735099337748346,0.100221986142573,0.12293512103528102
2,2.3249690222034345,0.4635169444751076,2.2301790391521013,0.39602649006622515,0.13764498922876509,0.15166362451765472
3,2.2346922647696754,0.4885748978915995,2.179174655285783,0.41821192052980133,0.15122227802221527,0.15796216277084352
4,2.157062042579057,0.49685395739044047,2.1189893601075847,0.4384105960264901,0.1620918265981906,0.17247222327396108
5,2.0875233451241746,0.5140744011480296,2.1536649930690692,0.5264900662251656,0.18257877065329106,0.18455063738962538
6,2.0291090485124306,0.5519372999227288,2.1120700015276594,0.5052980132450331,0.20678739865825826,0.20061472587005388
7,1.9656020128347753,0.5583397726018324,2.110927951201952,0.5576158940397351,0.22272194447354066,0.2167943199236812
8,1.8814759226538238,0.5867093498178607,2.1380239233068994,0.5788079470198676,0.2561489658344967,0.21619987932327764
9,1.8031879442065608,0.6097803289546307,2.057673679751678,0.6466887417218543,0.27834780317624963,0.24452953110744902
10,1.7069648513959441,0.6349486698311072,2.079951867768467,0.7903973509933775,0.3140865041894221,0.26411370279667307
11,1.6206389100421226,0.6598962357876146,2.0723308897744865,0.6917218543046357,0.3504014075250042,0.2924286317566534
12,1.5155718215084313,0.6760128049453582,2.11855938900312,0.8844370860927152,0.3812312957568841,0.27947433392300414
