val_accuracy,val_f1score,val_cross_entropy,epoch,step,train_accuracy_epoch,train_f1score_epoch,train_cross_entropy_epoch,train_accuracy_step,train_f1score_step,train_cross_entropy_step
0.978586733341217,0.9783860445022583,0.12029153108596802,0,20,,,,,,
,,,0,20,0.9196428656578064,0.9186292886734009,0.20026631653308868,,,
0.9892933368682861,0.9891589879989624,0.05075404420495033,1,41,,,,,,
,,,1,41,0.9866071343421936,0.9864559173583984,0.049086086452007294,,,
,,,2,49,,,,0.984375,0.9831888675689697,0.038061343133449554
0.978586733341217,0.97830730676651,0.06058516353368759,2,62,,,,,,
,,,2,62,0.9799107313156128,0.9796997904777527,0.08191622793674469,,,
