train_accuracy_step,train_f1score_step,train_labelsmoothingcrossentropy_step,epoch,step,val_accuracy,val_f1score,val_labelsmoothingcrossentropy,train_accuracy_epoch,train_f1score_epoch,train_labelsmoothingcrossentropy_epoch
0.9375,0.9481878280639648,0.35462647676467896,10,1549,,,,,,
,,,10,1550,0.5443121790885925,0.48860177397727966,1.702008605003357,,,
,,,10,1550,,,,0.9584441781044006,0.9663007259368896,0.3104285001754761
0.984375,0.9916972517967224,0.22355979681015015,11,1599,,,,,,
0.96875,0.9773539304733276,0.27301546931266785,11,1649,,,,,,
,,,11,1691,0.5710979104042053,0.5174902677536011,1.686089038848877,,,
,,,11,1691,,,,0.9622119069099426,0.9701317548751831,0.29485470056533813
0.96875,0.9650505781173706,0.3015039563179016,12,1699,,,,,,
0.96875,0.9775793552398682,0.26875388622283936,12,1749,,,,,,
0.890625,0.8831018805503845,0.41242653131484985,12,1799,,,,,,
,,,12,1832,0.5588624477386475,0.49976369738578796,1.6742116212844849,,,
,,,12,1832,,,,0.9635416865348816,0.9706622362136841,0.28567859530448914
1.0,1.0,0.2157159000635147,13,1849,,,,,,
0.96875,0.9847756624221802,0.22959019243717194,13,1899,,,,,,
0.96875,0.9802502393722534,0.2677523195743561,13,1949,,,,,,
,,,13,1973,0.6134259104728699,0.5574759244918823,1.4942840337753296,,,
,,,13,1973,,,,0.9645389914512634,0.9725481271743774,0.277447372674942
0.9375,0.9342404007911682,0.37560275197029114,14,1999,,,,,,
1.0,1.0,0.16706746816635132,14,2049,,,,,,
0.984375,0.9305555820465088,0.21589146554470062,14,2099,,,,,,
,,,14,2114,0.6392195820808411,0.5837815999984741,1.3915228843688965,,,
,,,14,2114,,,,0.9660904407501221,0.9734933376312256,0.26975852251052856
0.96875,0.9863421320915222,0.24809744954109192,15,2149,,,,,,
0.953125,0.9084022045135498,0.4006274938583374,15,2199,,,,,,
0.984375,0.9853480458259583,0.20968100428581238,15,2249,,,,,,
,,,15,2255,0.6474867463111877,0.5891399383544922,1.3280521631240845,,,
,,,15,2255,,,,0.9662012457847595,0.9731906652450562,0.2654257118701935
