train_accuracy_step,train_f1score_step,train_labelsmoothingcrossentropy_step,epoch,step,val_accuracy,val_f1score,val_labelsmoothingcrossentropy,train_accuracy_epoch,train_f1score_epoch,train_labelsmoothingcrossentropy_epoch
0.265625,0.2194315493106842,2.407874584197998,0,49,,,,,,
0.3125,0.18299797177314758,2.1334574222564697,0,99,,,,,,
,,,0,140,0.25066137313842773,0.2062867283821106,2.4221065044403076,,,
,,,0,140,,,,0.27471187710762024,0.19375750422477722,2.3453242778778076
0.40625,0.2337518334388733,2.028200387954712,1,149,,,,,,
0.4375,0.35273200273513794,1.761730670928955,1,199,,,,,,
0.59375,0.4761565625667572,1.4170169830322266,1,249,,,,,,
,,,1,281,0.207341268658638,0.190536230802536,2.5004734992980957,,,
,,,1,281,,,,0.481937050819397,0.42502301931381226,1.7232142686843872
0.65625,0.6904761791229248,1.1532702445983887,2,299,,,,,,
0.6875,0.5854930877685547,1.0835866928100586,2,349,,,,,,
0.65625,0.5369935035705566,1.1355788707733154,2,399,,,,,,
,,,2,422,0.11342592537403107,0.07768136262893677,2.7948241233825684,,,
,,,2,422,,,,0.6370788812637329,0.578769862651825,1.260979413986206
0.875,0.8264131546020508,0.6374176740646362,3,449,,,,,,
0.75,0.6896514296531677,0.8693411946296692,3,499,,,,,,
0.671875,0.5439034104347229,1.089308500289917,3,549,,,,,,
,,,3,563,0.29629629850387573,0.2565249800682068,2.4269301891326904,,,
,,,3,563,,,,0.7473404407501221,0.7021675109863281,0.9249671101570129
0.90625,0.8691108226776123,0.4610902965068817,4,599,,,,,,
0.796875,0.7591025829315186,0.6950162649154663,4,649,,,,,,
0.859375,0.8439947366714478,0.6815705299377441,4,699,,,,,,
,,,4,704,0.2261904776096344,0.14004245400428772,2.5071027278900146,,,
,,,4,704,,,,0.8322252035140991,0.7947109937667847,0.6783307194709778
0.8125,0.6009970903396606,0.6829438209533691,5,749,,,,,,
0.890625,0.8777154684066772,0.5115125775337219,5,799,,,,,,
,,,5,845,0.23842592537403107,0.18737758696079254,2.5859992504119873,,,
,,,5,845,,,,0.8758864998817444,0.8709514737129211,0.5486083030700684
0.890625,0.8644245266914368,0.45910805463790894,6,849,,,,,,
0.9375,0.9017740488052368,0.4800269603729248,6,899,,,,,,
0.90625,0.8876526355743408,0.46958959102630615,6,949,,,,,,
,,,6,986,0.507605791091919,0.4516303539276123,1.8927861452102661,,,
,,,6,986,,,,0.9093528389930725,0.9099187254905701,0.45512276887893677
0.9375,0.8430501222610474,0.3897974491119385,7,999,,,,,,
0.953125,0.9747535586357117,0.3678593337535858,7,1049,,,,,,
0.921875,0.9463318586349487,0.37624481320381165,7,1099,,,,,,
,,,7,1127,0.30522486567497253,0.2531001567840576,2.407785177230835,,,
,,,7,1127,,,,0.9220966100692749,0.9239602088928223,0.4107804596424103
0.90625,0.8811050057411194,0.45031434297561646,8,1149,,,,,,
0.953125,0.9502667188644409,0.3611884117126465,8,1199,,,,,,
0.921875,0.8314855098724365,0.4392366111278534,8,1249,,,,,,
,,,8,1268,0.31812170147895813,0.2527575194835663,2.5931544303894043,,,
,,,8,1268,,,,0.9368351101875305,0.9425595998764038,0.3806177079677582
0.96875,0.9051332473754883,0.3405797779560089,9,1299,,,,,,
0.953125,0.903764009475708,0.3585212528705597,9,1349,,,,,,
0.90625,0.908730149269104,0.46331676840782166,9,1399,,,,,,
,,,9,1409,0.48478835821151733,0.42933154106140137,2.0699515342712402,,,
,,,9,1409,,,,0.943705677986145,0.9509961605072021,0.3579743802547455
